sequencenum,timestamp,context,event,detail,timestampint,contextinint,contextint,contextoutint,eventint,eventoffset,eventsize,eventdata
0,0.000 000 000,"Idle","Start","",0,0x0000000000000000,0x0000000000000000,0x0000000000000000,10,10,2,0A 00 
1,0.000 000 000,"Idle","Init","Cycle Freq.: 32768, CPU Freq.: 32768, ID Base: 0x20000000, ID Shift: 0",0,0x0000000000000000,0x0000000000000000,0x0000000000000000,24,12,15,18 0C 80 80 02 80 80 02 80 80 80 80 02 00 00 
2,0.000 030 518,"Idle","System Description","N=ZephyrSysView",1,0x0000000000000000,0x0000000000000000,0x0000000000000000,14,27,18,0E 0F 4E 3D 5A 65 70 68 79 72 53 79 73 56 69 65 77 01 
3,0.000 030 518,"Idle","System Description","D=nrf5340dk nordic_nrf arm",1,0x0000000000000000,0x0000000000000000,0x0000000000000000,14,45,29,0E 1A 44 3D 6E 72 66 35 33 34 30 64 6B 20 6E 6F 72 64 69 63 5F 6E 72 66 20 61 72 6D 00 
4,0.000 030 518,"Idle","System Description","O=Zephyr",1,0x0000000000000000,0x0000000000000000,0x0000000000000000,14,74,11,0E 08 4F 3D 5A 65 70 68 79 72 00 
5,0.000 061 035,"Idle","System Description","C=nrf5340/cpuapp",2,0x0000000000000000,0x0000000000000000,0x0000000000000000,14,85,19,0E 10 43 3D 6E 72 66 35 33 34 30 2F 63 70 75 61 70 70 01 
6,0.000 061 035,"Idle","System Time (us)","8281 us",2,0x0000000000000000,0x0000000000000000,0x0000000000000000,13,104,5,0D D9 40 00 00 
7,0.000 061 035,"Idle","Task Info","main (0x00002810): Priority=0",2,0x0000000000000000,0x0000000000000000,0x0000000000000000,9,109,10,09 90 50 00 04 6D 61 69 6E 00 
8,0.000 061 035,"Idle","Stack Info","main (0x00002810): 4096 @ 0x200056C8",2,0x0000000000000000,0x0000000000000000,0x0000000000000000,21,119,12,15 90 50 C8 AD 81 80 02 80 20 00 00 
9,0.000 061 035,"Idle","Num Modules","Registered Modules: 0",2,0x0000000000000000,0x0000000000000000,0x0000000000000000,27,131,4,1B 01 00 00 
10,0.000 091 553,"Idle","syscall","name=device_is_ready",3,0x0000000000000000,0x0000000000000000,0x0000000000000000,162,135,20,A2 01 10 0F 64 65 76 69 63 65 5F 69 73 5F 72 65 61 64 79 01 
11,0.000 091 553,"Idle","syscall","Returns after 0.000 us",3,0x0000000000000000,0x0000000000000000,0x0000000000000000,28,155,5,1C 02 A2 01 00 
12,0.000 122 070,"Idle","k_mutex_init","",4,0x0000000000000000,0x0000000000000000,0x0000000000000000,37,160,9,25 06 A4 D3 80 80 02 00 01 
13,0.000 122 070,"Idle","k_mutex_lock","mutex=0x200020D4,",4,0x0000000000000000,0x0000000000000000,0x0000000000000000,39,169,13,27 0A D4 C1 80 80 02 FF FF FF FF 0F 00 
